Flight No.,UTC Clock,"Version, Booster",Launch Site,Payload Name,Payload Mass,Payload Type,Payload Orbit,Customer Name,Customer Type,Customer Country,Lauching Outcome,Launching Failure Reason,Landing Outcome,Landing Type,Landing Failure Reason,Description
F1-1,"March 24, 2006",,Marshall Islands,FalconSAT-2,19.5,Research Satellite,,DARPA,Government,United States,Failure,Engine Fire During Launch,,,,
F1-2,"March 21, 2007",,Marshall Islands,DemoSat,,,,DARPA,Government,United States,Failure,Engine Shutdown During Launch,,,,
F1-3,"August 3, 2008",,Marshall Islands,Trailblazer,,Communication Satellite,,ORS,Government,United States,Failure,Collision During Launch,,,,
F1-3,"August 3, 2008",,Marshall Islands,"PRESat, NanoSail-D",8,Research Satellites,,NASA,Government,United States,Failure,Collision During Launch,,,,
F1-3,"August 3, 2008",,Marshall Islands,Explorers,,Human Remains,,Celestis,Business,United States,Failure,Collision During Launch,,,,
F1-4,"September 28, 2008",,Marshall Islands,RatSat (DemoSat),165,,LEO,SpaceX,,,Success,,,,,
F1-5,"July 14, 2009",,Marshall Islands,RazakSAT,180,Weather Satellite,LEO,ATSB,Government,Malaysia,Success,,,,,
F9-1,"June 4, 2010, 18:45","F9 v1.0, B0003",CCAFS LC-40,Dragon Spacecraft Qualification Unit,,,LEO,SpaceX,,,Success,,Failure,parachute,,First flight of Falcon 9 v1.0 Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage.
F9-2,"December 8, 2010, 15:43","F9 v1.0, B0004",CCAFS LC-40,"Dragon demo flight C1, two CubeSats, barrel of Brouère cheese",,,LEO (ISS),NASA (COTS) NRO,,,Success,,Failure,parachute,,"Maiden flight of Dragon capsule, consisting of over 3 hours of testing thruster maneuvering and reentry."
F9-3,"May 22, 2012, 07:44","F9 v1.0, B0005",CCAFS LC-40,Dragon demo flight C2+,"525 kg(1,157 lb)",,LEO (ISS),NASA (COTS),,,Success,,No attempt,,,Dragon spacecraft demonstrated a series of tests before it was allowed to approach the ISS. Two days later it became the first commercial spacecraft to board the ISS.
F9-4,"October 8, 2012, 00:35","F9 v1.0, B0006",CCAFS LC-40,Primary payload: SpaceX CRS-1,"500 kg(1,100 lb)",,LEO (ISS),NASA (CRS),,,Success,,No attempt,,,"CRS-1 was successful, but the secondary payload was inserted into abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch, and as per ISS visiting vehicle safety rules, the primary payload owner, NASA, was contractually allowed to decline a second reignition. It was the first time SpaceX produced a webcast for one of their own launches."
F9-4,"October 8, 2012, 00:35","F9 v1.0, B0006",CCAFS LC-40,Secondary payload: Orbcomm-OG2,172 kg(379 lb),,LEO,Orbcomm,,,Partial failure,,No attempt,,,"CRS-1 was successful, but the secondary payload was inserted into abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch, and as per ISS visiting vehicle safety rules, the primary payload owner, NASA, was contractually allowed to decline a second reignition. It was the first time SpaceX produced a webcast for one of their own launches."
F9-5,"March 1, 2013, 15:10","F9 v1.0, B0007",CCAFS LC-40,SpaceX CRS-2,"677 kg(1,493 lb)",,LEO (ISS),NASA (CRS),,,Success,,No attempt,,,"Last launch of the original Falcon 9 v1.0 launch vehicle, first use of the unpressurized trunk section of Dragon."
